,med,med,med,med,med,med,med,med,med,params,params,params,params,game,game,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,med_freqs,agents,agents,agents,net,net,net,net,meds,ws,timestamp
,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,W1,W2,N,episode_n,t,s,NO_MED,GOOD_MED,BAD_MED,RANDOM_MED,FAIR_MED,GOOD_MED_X,BAD_MED_X,RANDOM_MED_X,FAIR_MED_X,coop_freq,payoff_mean,payoff_var,heterogeneity,k_max,rewire_n,stop_n,,,
40,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.26800000000003,49,147392,515000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 0.5)",Jun-24-2021_1504
41,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,52.299999999999955,50,149776,800000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 1.0)",Jun-24-2021_1504
42,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.992,29.764,153.772304,123.668,87,36082,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 2.0)",Jun-24-2021_1504
43,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,500,1000000,-1.0,2.0,0.648,0.0,0.0,0.0,0.0,0.352,0.0,0.0,0.0,1.0,30.0,143.644,143.644,76,20257,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(2.0, 3.0)",Jun-24-2021_1504
44,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,123.112,123.11199999999997,70,19106,850000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 0.5)",Jun-24-2021_1504
45,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,53.48000000000002,49,127537,495000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 1.0)",Jun-24-2021_1504
46,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,29.456,198.072064,129.93200000000002,65,16856,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 2.0)",Jun-24-2021_1504
47,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.292,8.766,760.1992439999999,46.76800000000003,51,64129,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(3.0, 3.0)",Jun-24-2021_1504
48,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.27999999999997,53,111529,570000,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 0.5)",Jun-24-2021_1504
49,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,500,1000000,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.53,16.106,1011.6467640000001,110.15200000000004,68,96984,999999,"('NO_MED', 'GOOD_MED_X', 'BAD_MED_X')","(0.5, 1.0)",Jun-24-2021_1504
